Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
Blekinge,3.43,5.49,64.99,-5.83,0,
Dalarna,6.75,12.07,35.54,-19.76,1,1.0
Gotland,2.48,3.95,54.61,-9.44,1,
Gävleborg,7.88,14.89,67.24,-51.32,1,
Halland,5.98,9.04,45.23,-14.5,0,
Jämtland Härjedalen,0.0,0.0,,0.0,13,
Jönköping,8.35,12.01,52.1,-20.7,-1,
Kalmar,5.53,8.24,58.41,-18.06,0,
Kronoberg,6.8,11.08,94.42,-13.74,1,
Norrbotten,3.83,6.23,46.89,1.92,-1,
Skåne,14.97,21.78,34.9,-35.47,0,1.0
Stockholm,37.26,51.34,37.08,-99.34,0,1.0
Södermanland,5.34,8.95,38.36,-26.33,1,1.0
Uppsala,8.02,11.79,52.62,-16.67,-10,
Värmland,4.66,7.87,26.05,-12.27,0,
Västerbotten,8.97,12.89,57.63,-23.17,1,
Västernorrland,7.56,12.95,48.87,-0.05,1,1.0
Västmanland,3.63,6.21,42.39,-0.46,1,
Västra Götaland,16.08,23.55,27.98,-49.95,0,1.0
Örebro,6.19,9.9,36.36,-17.53,-8,
Östergötland,7.13,11.94,35.9,-26.79,1,
